,BCUTw.1l,BCUTw.1h,BCUTc.1l,BCUTc.1h,BCUTp.1l,BCUTp.1h,Fsp3,XLogP,MW,LipinskiFailures,nRotB,MLogP,nAtomP,nAtomLC,nB,nBase,nAtom,nAromBond,naAromAtom,ALogP,ALogp2,AMR,nAcid,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,tpsaEfficiency,Zagreb,WPATH,WPOL,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,VAdjMat,TopoPSA,topoShape,PetitjeanNumber,MDEC.11,MDEC.12,MDEC.13,MDEC.14,MDEC.22,MDEC.23,MDEC.24,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,MDEN.11,MDEN.12,MDEN.13,MDEN.22,MDEN.23,MDEN.33,khs.sLi,khs.ssBe,khs.ssssBe,khs.ssBH,khs.sssB,khs.ssssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sI,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,Kier1,Kier2,Kier3,HybRatio,fragC,FMF,ECCEN,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SCH.3,SCH.4,SCH.5,SCH.6,SCH.7,VCH.3,VCH.4,VCH.5,VCH.6,VCH.7,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,tpsaEfficiency.1,TopoPSA.1,nHBDon,nHBAcc,topoShape.1,label
0,11.9960758838224,16.0075620002125,-0.415747221700356,0.231757124460463,4.98894967775951,11.1305990302344,0.696428571428571,1.213,1203.47891946603,4,33,4.43,6,33,86,5,183,6,6,-5.19810000000001,27.0202436100001,313.9645,0,1,1,2,1,0,0,0,1,0,0,0,0.40794847589312,398,42291,131,166.737845250103,1.96162170882474,78.5317755987284,32.9135804711381,45.6181951275906,7.4262647547021,490.66,1.0,0.5,0.981077414779787,10.8579420954173,13.6874381464971,0.0,0.0,0,0.0,0,0.0,0.0,7.48521508559972,0.0,0,0.619070659254524,5.32963740838983,0,7.05970582519334,0,0,0,0,0,0,0,0,6,0,19,0,0,5,14,0,0,11,1,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0924824229313,45.3188190148015,31.4555580307418,0.696428571428571,26716.29,0.352941176470588,4175,63.7598443404594,40.3318839892316,35.1728571020278,26.3345389283509,20.2195449177229,15.7241436732836,9.52532870225122,6.69170476689774,50.1765936891978,29.5491072844677,22.0469721288136,14.2542300679634,9.12035725310134,5.77945160117512,3.41359767999774,2.14780921724731,12.137281497871,16.6957251004609,23.583767324362,4.53603074240253,5.19448106477193,5.52599161910101,5.81891083581649,0.0,1.40742465828785,0,2.75750463448829,0.0,0.275222956788648,0,0,0,0.0,0.102062072615966,0.0721687836487032,0,0,0.0,0.0320750149549792,0.0226804605813257,0,0,11,5,1,12,25,2,0,5637.09897353716,6327.59707649322,8182.70104395355,9326.37742553525,10305.3306851344,100.827782282456,94.8041078985953,130.218188752398,153.698461824618,176.241249327105,2.35301801634737,-0.968982265967239,-0.174253482455989,0.788493167320689,-1.64756227931309,0.40794847589312,490.66,18,29,1.0,1
1,11.9960767083907,16.0075586156964,-0.415746390876445,0.231687733607714,4.96930195549572,11.1305982124876,0.690909090909091,0.705,1189.45230206159,4,33,4.32,6,33,85,5,180,6,6,-5.4499,29.70141001,309.4159,0,1,1,2,1,0,0,0,1,0,0,0,0.412758350728132,392,40692,129,164.91137594645,1.96323066602917,78.5316832729726,32.9135275446404,45.6181557283325,7.4093909361377,490.66,1.0,0.5,0.650167434589853,9.54492013968319,11.862422586024,0.0,0.0,0,0.0,0,0.0,0.0,7.48521508559972,0.0,0,0.619070659254524,5.32963740838983,0,7.05970582519334,0,0,0,0,0,0,0,0,5,0,20,0,0,5,13,0,0,11,1,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0935640138408,45.2959987014041,31.2582644628099,0.690909090909091,25789.29,0.357142857142857,4114,62.8896008524563,39.9380371391142,34.5778687426331,25.7942454688269,20.1261748832575,15.6539119006521,9.51014847268421,6.59294265100117,49.3063502011947,29.1552604343504,21.4519837694189,13.7139366084393,9.02698721863593,5.70671065326059,3.39056717869981,2.10882985805286,11.6444822180442,16.3472633879316,23.3373676844487,4.04323146257578,4.84601935224259,5.27959197918764,5.53023570122167,0.0,1.40742465828785,0,2.46882949989348,0.0,0.275222956788648,0,0,0,0.0,0.102062072615966,0.0721687836487032,0,0,0.0,0.0320750149549792,0.0226804605813257,0,0,11,5,1,11,26,1,0,5549.04515244576,6228.42807695429,8046.92350100057,9207.42129832555,10220.9333154664,99.827782282456,93.8041078985953,128.218188752398,151.698461824618,175.241249327105,2.35301801634737,-0.968982265967223,-0.174253482455433,0.788493167330333,-1.64756227923474,0.412758350728132,490.66,18,29,1.0,1
2,11.9960793626525,16.0075484725294,-0.415743838004478,0.231452069977637,4.97912697934066,10.8156421257906,0.788461538461538,0.634,1155.43597587888,4,32,3.99,3,32,81,5,179,0,0,-5.97850000000001,35.7424622500002,298.4181,0,0,0,1,0,0,0,0,0,0,0,0,0.424905850272111,376,37279,124,157.685578308087,1.94673553466775,78.4656669714987,32.8902808979946,45.5753860735044,7.33985000288463,490.66,0.9375,0.483870967741935,1.98920466795889,11.6094001648252,19.3286945500395,0.0,0.0,0,0.0,0,0.0,0.0,7.48521508559972,0.0,0,0.619070659254524,5.32963740838983,0,7.05970582519334,0,0,0,0,0,0,0,0,8,0,18,0,0,0,15,0,0,11,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0123456790123,43.6090488252249,31.6545265348595,0.788461538461538,25561.29,0.283950617283951,3785,61.5172036533401,38.1320831442223,33.9430949515222,24.1354928087213,18.8297119338354,14.5286190126486,8.76433138029448,6.0879185582021,48.6600858312527,28.3098143177338,21.867225378572,13.0663133457492,8.6198635248834,5.37002423223587,3.17066633979216,2.02541488516915,11.762333348242,16.2862766899682,23.1623927781534,4.37137924112507,5.09465177545204,5.45376840482384,6.14260813691747,0.0,1.40742465828785,0,3.16747495062345,0.0,0.275222956788648,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,11,0,0,14,24,3,0,5319.29694148545,5950.11260225285,7680.69568561344,8788.20331992018,9852.74297932438,96.827782282456,89.8041078985953,124.218188752398,146.698461824618,172.241249327105,2.34900596075356,-0.972803211464091,-0.172008864323089,0.796685003123742,-1.65239816897021,0.424905850272111,490.66,18,29,0.9375,1
3,11.9960803167165,16.0065423738342,-0.415735907531591,0.230015425681698,4.96594561930494,11.13053018531,0.686274509803922,1.848,1089.33302110219,4,28,4.21,6,30,78,4,165,6,6,-3.9852,15.88181904,283.9768,0,1,1,2,1,0,0,0,1,0,0,0,0.40006590975729,360,31291,118,151.241652524873,1.96417730551783,70.5007515702345,30.3582002315062,40.1425513387285,7.28540221886225,435.54,0.933333333333333,0.482758620689655,0.688972644725397,9.38311923855804,11.5023435249487,0.0,0.0,0,0.0,0,0.0,0.0,6.68397378690073,0.0,0,0.413279732971827,4.28445027341225,0,6.30859679837922,0,0,0,0,0,0,0,0,5,0,18,0,0,5,12,0,0,10,1,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1019066403682,41.0899653979239,28.4253807800014,0.686274509803922,21704.26,0.38961038961039,3402,57.6135799705174,36.5955018840132,31.8161278080642,23.655507214171,18.4467468904629,14.3581318643737,8.6650180091143,6.09221504177625,45.3291878099785,26.8072894390011,19.8134593050595,12.625615297784,8.31676615656858,5.27967095428892,3.1200335438128,1.95762612799146,10.6764721492958,14.9885196215008,21.3979285868715,3.72218379955635,4.44807877923799,4.86081015570159,5.12786677415949,0.0,1.28957352809009,0,2.30784186217863,0.0,0.254389623455315,0,0,0,0.0,0.102062072615966,0.0721687836487032,0,0,0.0,0.0320750149549792,0.0226804605813257,0,0,10,5,1,10,24,1,0,5088.01569460792,5711.25166457764,7379.7329405555,8423.55269523187,9344.04794389609,91.3333526443621,85.9734701219214,117.667907445477,138.622290172468,159.888173384576,2.13789514746878,-0.87773038992418,-0.166791851853995,0.699148635907913,-1.46252414854728,0.40006590975729,435.54,16,26,0.933333333333333,1
4,11.9960803160093,16.0075316097868,-0.415736377715346,0.230588569344193,4.42274864845768,11.130687968051,0.666666666666667,1.078,1103.31654452211,4,28,4.1,6,30,79,3,164,6,6,-4.11650000000001,16.94557225,283.7678,0,1,1,2,1,0,0,0,1,0,0,0,0.410474810195633,366,32178,119,153.076582619744,1.96252028999672,72.8684405160237,32.7599656478388,40.1084748681851,7.3037807481771,452.61,0.933333333333333,0.482758620689655,0.688972644725397,8.99199776826874,11.8806036988014,0.0,0.0,0,0.0,0,0.0,0.0,7.84039176918024,0.0,0,0.413279732971827,4.28445027341225,0,6.30859679837922,0,0,0,0,0,0,0,0,5,0,17,0,0,5,12,0,0,11,1,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1006248998558,41.1198224852071,29.1050792797635,0.666666666666667,21219.27,0.384615384615385,3441,58.4838234585205,36.9513439316697,32.6570017839823,23.7701952186232,18.6076188650292,14.5662309060375,8.7936814124257,6.16479384404313,45.5303293192558,26.7453938189573,19.9065460238289,12.5755821052856,8.29174956031935,5.27093855105081,3.1056416822451,1.94411584714041,10.8905483243585,15.2948380627441,21.9989166259082,3.7491585746481,4.46642410511363,4.89159307704968,5.53611506462335,0.0,1.28957352809009,0,2.39117519551197,0.0,0.254389623455315,0,0,0,0.0,0.102062072615966,0.0721687836487032,0,0,0.0,0.0320750149549792,0.0226804605813257,0,0,11,5,1,9,24,1,0,5117.56714887396,5752.86538610349,7455.55817097264,8485.6213670283,9445.1006052199,93.107821679903,87.3055620990539,120.553461019676,139.954382149601,162.773726958776,2.26461944843538,-0.91131707462006,-0.154688707309865,0.663534953782991,-1.50036322500868,0.410474810195633,452.61,16,27,0.933333333333333,0
5,11.9960813041275,16.0075215119286,-0.415746273989741,0.230270372846211,4.7355195462982,11.1292271227929,0.68,1.986,1076.29116466446,4,27,4.1,6,30,77,3,161,6,6,-3.758,14.122564,277.4539,0,1,1,2,1,0,0,0,1,0,0,0,0.399529961080637,356,30406,117,149.231529175362,1.96357275230739,70.4714392427992,32.8023056230865,37.6691336197128,7.2667865406949,429.75,0.933333333333333,0.482758620689655,0.688972644725397,8.99199776826874,11.5023435249487,0.0,0.0,0,0.0,0,0.0,0.0,7.97527169389775,0.0,0,0.227436601952595,3.20719104871085,0,6.30859679837922,0,0,0,0,0,0,0,0,5,0,17,0,0,5,12,0,0,10,1,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.1032214538708,40.2607587491422,27.7602777777778,0.68,20544.26,0.394736842105263,3363,56.9064731893309,36.0955018840132,31.4357009639333,23.5204186626679,18.242622745231,14.0609458000223,8.48348552503088,6.00334180938514,44.4919443551023,26.2152689145541,19.4186832217049,12.3528476823576,8.07539125004815,5.1208593416828,3.01992569464549,1.87143435580843,10.7252876857647,15.0310010242262,21.1661211024272,3.69565856236641,4.35822910990751,4.74647544586767,5.12786677415949,0.0,1.28957352809009,0,2.30784186217863,0.0,0.254389623455315,0,0,0,0.0,0.102062072615966,0.0721687836487032,0,0,0.0,0.0320750149549792,0.0226804605813257,0,0,10,5,1,10,23,1,0,4969.49023126076,5582.62664351796,7218.72418915145,8219.18525761656,9073.39416153,90.7478413786265,85.1393801658735,116.833817489429,138.175479880306,158.523759849547,2.20885921988794,-0.878854466121721,-0.208305826347384,0.66120705609801,-1.37034392559664,0.399529961080637,429.75,16,26,0.933333333333333,0
6,11.9960813041275,16.0075215119286,-0.415746273989741,0.230270372846211,4.7355195462982,11.1292271227929,0.68,1.986,1076.29116466446,4,27,4.1,6,30,77,3,161,6,6,-3.758,14.122564,277.4539,0,1,1,2,1,0,0,0,1,0,0,0,0.399529961080637,356,30406,117,149.231529175362,1.96357275230739,70.4714392427992,32.8023056230865,37.6691336197128,7.2667865406949,429.75,0.933333333333333,0.482758620689655,0.688972644725397,8.99199776826874,11.5023435249487,0.0,0.0,0,0.0,0,0.0,0.0,7.97527169389775,0.0,0,0.227436601952595,3.20719104871085,0,6.30859679837922,0,0,0,0,0,0,0,0,5,0,17,0,0,5,12,0,0,10,1,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.1032214538708,40.2607587491422,27.7602777777778,0.68,20544.26,0.394736842105263,3363,56.9064731893309,36.0955018840132,31.4357009639333,23.5204186626679,18.242622745231,14.0609458000223,8.48348552503088,6.00334180938514,44.4919443551023,26.2152689145541,19.4186832217049,12.3528476823576,8.07539125004815,5.1208593416828,3.01992569464549,1.87143435580843,10.7252876857647,15.0310010242262,21.1661211024272,3.69565856236641,4.35822910990751,4.74647544586767,5.12786677415949,0.0,1.28957352809009,0,2.30784186217863,0.0,0.254389623455315,0,0,0,0.0,0.102062072615966,0.0721687836487032,0,0,0.0,0.0320750149549792,0.0226804605813257,0,0,10,5,1,10,23,1,0,4969.49023126076,5582.62664351796,7218.72418915145,8219.18525761656,9073.39416153,90.7478413786265,85.1393801658735,116.833817489429,138.175479880306,158.523759849547,2.20885921988794,-0.878854466121721,-0.208305826347384,0.66120705609801,-1.37034392559664,0.399529961080637,429.75,16,26,0.933333333333333,0
7,11.9882774658642,16.0085252645682,-0.391659361161083,0.295593978098234,4.95498537947402,11.1302006171908,0.651162790697674,-1.526,963.136558446759,4,20,3.44,6,23,69,5,142,6,6,-6.9545,48.36507025,246.9011,0,1,1,2,1,0,0,0,1,0,0,0,0.449278213345484,322,21189,107,133.4048762886,1.96183641600882,67.3007232537749,27.7423145850808,39.5584086686941,7.10852445677817,432.46,0.692307692307692,0.409090909090909,0.520289463293122,6.25866146885143,10.2785832883524,0.0,17.5019441583748,0,0.0,0,0.0,0.0,5.79892145593056,0.0,0,0.706646798147197,4.90691336568555,0,5.50505680617813,0,0,0,0,0,0,0,0,4,0,12,0,0,5,12,0,0,9,1,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.1151018693552,34.4815689981096,23.4,0.651162790697674,15893.25,0.441176470588235,2332,51.086482233022,32.163650231435,28.4676272810539,21.5424247570233,16.3033118564335,12.6229274802005,7.77924567030776,5.40597555080412,39.255649101585,22.8371633207279,17.1298443626115,10.8593278713066,7.00234432463497,4.42651882444708,2.62588365665918,1.6526040676559,10.6027402812808,14.1315119072136,19.8513598623546,3.63427397072751,4.16432371536923,4.50688368884049,4.8955589658066,0.0,1.38579857295503,0,2.24856479006153,0.0,0.262786481718477,0,0,0,0.0,0.102062072615966,0.0721687836487032,0,0,0.0,0.0320750149549792,0.0226804605813257,0,0,9,5,1,9,18,1,0,4531.36782062935,5116.23020940546,6680.29208991123,7625.73729825339,8400.42520998445,81.5588836088211,76.4751962116084,106.616171938097,126.791924285023,142.895349632553,1.99935410336146,-0.791998463061102,-0.21111834989837,0.627076826076007,-1.23561770515906,0.449278213345484,432.46,16,25,0.692307692307692,0
8,11.9960803167165,16.0065423738343,-0.415735864430833,0.230021680880942,4.97001843967193,11.1304664422268,0.686274509803922,2.277,1089.33302110219,4,28,4.21,6,30,78,4,165,6,6,-3.9852,15.88181904,283.9768,0,1,1,2,1,0,0,0,1,0,0,0,0.40006590975729,360,31291,118,151.241266411472,1.96417229105808,70.4998646148545,30.3598689698445,40.1399956450102,7.28540221886225,435.54,0.933333333333333,0.482758620689655,0.710453502971015,9.43264898900895,11.9557823937168,0.0,0.0,0,0.0,0,0.0,0.0,6.861490776708,0.0,0,0.378627906595178,4.10176767185976,0,6.30859679837922,0,0,0,0,0,0,0,0,5,0,18,0,0,5,12,0,0,10,1,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1019066403682,41.0899653979239,28.4253807800014,0.686274509803922,21704.26,0.38961038961039,3402,57.6135799705174,36.5955018840132,31.8161278080642,23.655507214171,18.4507153510626,14.3284288657093,8.72392547486078,6.07037321559702,45.3291878099785,26.8072894390011,19.8134593050595,12.625615297784,8.31919633245199,5.26969841408812,3.1334893565308,1.95223321506098,10.6764721492958,14.994779273896,21.3307926176796,3.72218379955635,4.45028598232963,4.84469354464694,5.12786677415949,0.0,1.28957352809009,0,2.30784186217863,0.0,0.254389623455315,0,0,0,0.0,0.102062072615966,0.0721687836487032,0,0,0.0,0.0320750149549792,0.0226804605813257,0,0,10,5,1,10,24,1,0,5088.07430665196,5711.60367924767,7381.123922029,8425.55007588405,9346.21016437247,91.3333526443621,85.9734701219214,117.667907445477,138.622290172468,159.888173384576,2.13790810418429,-0.877636532756149,-0.165973283811425,0.702809027398928,-1.45985597971386,0.40006590975729,435.54,16,26,0.933333333333333,0
9,11.988244168114,16.0091320541629,-0.391649025149053,0.295776250021705,5.15218307250666,11.1305963121025,0.509090909090909,1.244,1144.3270826196,4,24,4.54,15,30,85,4,163,18,18,-4.4725,20.00325625,299.1249,0,3,3,4,3,0,0,0,3,0,0,0,0.392114886030538,398,37288,131,162.909402359115,1.9867000287697,73.6732585653168,30.4028355832966,43.2704229820202,7.4093909361377,448.43,0.933333333333333,0.482758620689655,0.520289463293122,7.88610147198176,11.1738974513985,0.0,0.0,0,0.0,0,0.0,0.0,6.68397378690073,0.0,0,0.413279732971827,4.41897950509759,0,6.82795592074764,0,0,0,0,0,0,0,0,4,0,12,0,0,13,12,0,0,10,4,0,0,0,4,0,0,10,0,0,0,0,1,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.4639446366782,39.8891966759003,25.7959183673469,0.509090909090909,20914.27,0.609756097560976,3765,60.4669511216459,39.0963032218126,34.5702066070719,26.7010097049627,21.2070266240648,16.8695596187799,10.2595552373941,7.33865204466,46.6525628718762,27.3384772943591,20.3509760461378,13.1800092491475,8.7451753394597,5.6188543399165,3.24176389324793,2.0395218363054,12.1948743623949,17.2749070268087,24.6065292081687,4.2090246178836,5.04290562326345,5.49919658572094,5.57489389996019,0.0,1.49075799162118,0,2.51792050394137,0.0,0.292916543036906,0,0,0,0.0,0.287457478565265,0.22731939361252,0,0,0.0,0.0856666040555552,0.0602345422044121,0,0,11,13,3,9,18,1,0,5590.72456844166,6369.11118106968,8408.12859698072,9499.33184032603,10284.8277538001,96.6933329456385,93.3058339882822,130.166453245018,152.619109882323,171.884993094431,2.21878346369958,-0.926000331165312,-0.137077057311663,0.723720354714749,-1.60966131829855,0.392114886030538,448.43,16,27,0.933333333333333,0
